coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-117.1124,47.6731,1670426460,1,233.65,0.0,5.06,50.07,1.0,3.81,4.46,0.24
-85.542,38.2248,1670426460,1,363.83,8.72,8.31,0.77,0.24,9.78,11.73,0.25
-77.5642,37.644,1670426460,1,257.02,0.71,6.34,14.66,1.16,6.74,7.06,0.03
-98.6264,29.6553,1670426460,1,208.62,0.06,7.8,38.62,1.97,4.43,7.86,0.16
-114.4557,42.5983,1670426460,1,236.99,0.0,5.14,55.79,0.2,2.61,5.55,6.9
-73.6694,40.7962,1670426460,4,801.09,50.52,68.55,0.67,16.21,26.55,36.39,4.37
-81.5908,30.2286,1670426460,2,547.41,42.92,16.62,4.6,0.62,19.23,24.89,1.0
-75.0298,39.9173,1670426460,2,540.73,37.55,32.56,0.55,12.16,17.23,21.44,1.95
-87.6289,41.8993,1670426460,2,383.85,4.02,34.62,13.77,4.95,12.61,16.0,0.83
-95.4643,30.164,1670426460,2,267.03,0.38,18.34,32.19,3.73,9.97,22.16,0.09
-96.8261,33.0809,1670426460,1,330.45,1.08,20.91,6.26,1.25,8.78,10.02,0.41
-121.8103,37.6828,1670426460,2,377.18,6.87,34.62,0.16,2.3,15.29,21.15,0.76
-121.8123,37.6855,1670426460,2,377.18,6.87,34.62,0.16,2.3,15.29,21.15,0.76
-118.2554,34.1447,1670426460,4,814.44,78.68,52.09,0.0,5.19,38.82,58.68,6.71
-117.8825,33.6741,1670426460,5,1455.31,150.2,82.25,0.0,21.22,73.81,92.84,12.03
-117.2342,33.1331,1670426460,2,337.12,0.78,22.62,7.69,1.25,13.41,19.39,1.79
-111.9287,33.625,1670426460,4,527.38,0.43,52.78,6.53,2.95,23.04,51.81,0.49
-75.3857,40.6862,1670426460,1,353.81,2.6,18.51,9.84,2.59,9.23,10.67,0.26
-115.2468,36.1435,1670426460,2,226.97,0.0,5.91,76.53,0.51,9.73,22.69,1.31
-104.8756,39.561,1670426460,2,453.95,10.28,33.24,2.17,1.36,10.21,14.17,4.02
-85.4482,32.6278,1670426460,1,181.91,0.03,1.26,36.12,0.13,4.14,9.01,0.04
-86.8088,33.5257,1670426460,1,193.6,0.12,3.9,42.2,2.09,5.51,12.18,0.0
-86.6352,31.8561,1670426460,1,185.25,0.31,1.44,35.05,0.44,4.91,10.96,0.11
-88.122,30.6742,1670426460,1,220.3,0.48,4.84,43.63,0.58,5.58,13.12,0.1
-112.5571,33.4433,1670426460,3,290.39,0.69,19.02,5.5,0.01,11.27,44.69,0.78
-111.6816,32.8791,1670426460,2,220.3,0.01,3.38,35.41,0.06,8.77,29.12,0.44
-112.118,34.3273,1670426460,1,198.6,0.0,2.66,68.67,0.15,4.41,8.78,0.04
-111.663,35.1749,1670426460,1,171.9,0.0,0.91,62.94,0.03,0.62,0.84,0.02
-112.7346,32.9438,1670426460,3,236.99,0.04,6.51,32.9,0.01,11.5,43.68,0.32
-110.1455,34.9232,1670426460,1,180.24,0.01,3.17,57.22,0.13,1.61,7.93,0.25
-114.066,35.1911,1670426460,2,198.6,0.0,4.07,75.1,0.17,6.46,24.16,0.61
-111.4688,36.9246,1670426460,1,188.59,0.0,7.11,58.65,12.99,4.35,13.07,0.0
-112.731,33.9702,1670426460,2,230.31,0.0,5.74,47.21,0.11,10.47,25.88,0.03
-114.6204,32.7277,1670426460,1,216.96,0.0,3.34,57.22,0.21,3.2,12.22,0.56
-120.6656,35.4864,1670426460,1,226.97,0.0,5.1,39.7,0.25,5.07,5.96,0.29
-119.3314,35.3545,1670426460,1,236.99,0.08,6.08,15.91,0.02,3.59,8.04,1.19
-117.0849,34.8497,1670426460,2,270.37,0.0,7.8,32.19,0.03,12.18,27.15,0.05
-119.3975,35.4002,1670426460,1,220.3,0.11,5.66,8.32,0.03,3.51,5.6,1.54
-116.8124,33.9271,1670426460,1,263.69,0.0,13.54,50.78,0.86,7.0,9.05,0.27
-118.383,33.976,1670426460,5,1735.69,198.48,87.74,0.0,15.5,95.62,117.06,13.55
-120.2385,36.2532,1670426460,1,208.62,0.0,1.74,55.79,0.45,4.49,6.55,0.35
-122.1981,39.9263,1670426460,1,290.39,0.01,6.34,28.61,0.11,2.79,3.11,0.29
-124.1947,41.7518,1670426460,1,280.38,0.0,2.34,35.76,0.06,4.5,4.59,0.2
-118.3933,33.9854,1670426460,5,1735.69,198.48,87.74,0.0,15.5,95.62,117.06,13.55
-115.5307,32.7622,1670426460,1,211.95,0.0,2.72,70.1,0.08,1.32,4.54,0.51
-124.1906,40.7793,1670426460,1,283.72,0.04,10.8,21.46,0.75,4.85,5.59,0.4
-119.6352,37.4733,1670426460,1,191.93,0.0,1.0,70.1,0.04,1.53,3.66,0.74
-121.1213,38.6493,1670426460,1,283.72,0.06,10.54,32.19,0.14,4.58,9.91,0.38
-121.1882,38.6423,1670426460,1,283.72,0.06,10.54,32.19,0.14,4.58,9.91,0.38
-119.9105,36.8346,1670426460,1,310.42,2.01,16.28,0.92,0.33,7.14,9.78,4.24
-121.5637,37.0256,1670426460,1,220.3,0.0,6.43,38.98,0.29,3.56,7.58,0.2
-120.232,37.8386,1670426460,1,223.64,0.0,2.7,50.78,0.03,1.6,2.81,0.78
-121.0169,37.1091,1670426460,1,201.94,0.0,1.63,43.99,0.1,2.42,3.36,0.63
-120.2385,36.2528,1670426460,1,208.62,0.0,1.74,55.79,0.45,4.49,6.55,0.35
-116.2129,33.7425,1670426460,1,340.46,0.01,18.68,29.68,0.34,9.4,16.47,1.57
-117.8126,35.6466,1670426460,1,185.25,0.0,0.57,61.51,0.07,1.51,3.94,0.83
-118.0617,36.6008,1670426460,2,196.93,0.0,0.54,90.84,0.02,0.5,2.06,0.5
-118.9655,37.6445,1670426460,1,163.56,0.0,0.73,71.53,0.05,1.83,7.61,0.82
-121.229,37.7812,1670426460,2,357.15,9.39,26.73,0.31,7.03,13.48,17.52,2.03
-118.1747,35.0688,1670426460,1,196.93,0.0,4.8,64.37,0.43,7.33,11.14,0.73
-122.0773,37.4144,1670426460,4,567.44,25.93,58.95,0.0,10.73,28.42,34.02,0.85
-122.3151,41.3095,1670426460,1,247.0,0.0,7.97,47.21,0.12,6.37,6.48,0.71
-122.2646,38.2357,1670426460,1,257.02,0.01,7.11,35.41,0.14,5.01,6.42,1.35
-80.1937,25.8143,1670426460,1,247.0,2.21,13.71,68.67,2.18,4.34,10.62,0.59
-114.6243,34.8508,1670426460,2,198.6,0.0,2.16,53.64,0.05,5.51,24.1,1.84
-119.1778,34.2405,1670426460,1,213.62,0.01,3.51,36.12,0.06,1.99,3.43,0.18
-122.624,38.2428,1670426460,2,373.84,1.23,22.62,6.8,0.98,10.05,12.06,4.62
-75.6798,41.3639,1670426460,1,313.76,0.82,15.94,15.56,1.94,7.53,8.3,0.12
-117.5324,34.1114,1670426460,4,547.41,3.35,69.23,1.61,6.08,40.69,48.93,0.09
-118.3666,33.8939,1670426460,5,1735.69,198.48,87.74,0.0,15.5,95.62,117.06,13.55
-121.2685,38.7733,1670426460,2,420.57,3.41,26.73,2.24,1.37,10.4,18.49,2.88
-88.7017,34.3084,1670426460,1,193.6,0.04,1.97,36.12,0.21,2.1,2.85,0.07
-117.1941,32.9033,1670426460,1,323.77,1.33,27.42,9.3,0.5,7.79,11.98,0.96
-117.6629,33.4983,1670426460,4,667.57,30.85,61.01,0.0,12.16,32.39,45.54,3.36
-82.7125,40.4936,1670426460,2,360.49,4.14,17.65,1.54,0.29,10.4,10.89,0.34
-100.2181,34.4321,1670426460,1,257.02,0.09,4.2,21.28,0.07,7.51,10.84,0.49
-122.2902,37.5461,1670426460,4,700.95,47.83,54.84,0.0,7.63,30.39,39.27,2.22
-117.8697,33.7743,1670426460,5,1455.31,150.2,82.25,0.0,21.22,73.81,92.84,12.03
-118.9461,34.9867,1670426460,1,216.96,0.0,4.37,46.49,0.08,4.88,6.9,0.17
-117.1546,33.5246,1670426460,2,350.48,0.72,19.36,8.14,0.58,13.61,19.5,1.0
-117.6277,33.44,1670426460,4,667.57,30.85,61.01,0.0,12.16,32.39,45.54,3.36
-76.4919,41.0164,1670426460,1,320.44,0.62,14.22,13.95,3.61,7.58,7.95,0.06
-118.8203,34.1593,1670426460,1,270.37,0.41,11.65,11.0,0.29,6.03,9.99,0.41
-120.2065,39.3273,1670426460,1,183.58,0.0,3.26,51.5,0.54,3.84,8.41,0.39
-116.0531,34.1205,1670426460,2,277.04,0.0,6.68,41.84,0.39,7.69,20.42,0.36
-123.2089,39.1481,1670426460,1,263.69,0.01,4.07,25.75,0.04,4.91,5.16,1.06
-121.9574,38.3668,1670426460,1,273.71,1.76,17.48,3.98,0.16,5.99,8.02,1.44
-118.0132,33.7475,1670426460,5,2029.42,236.03,91.85,0.0,19.07,104.54,129.99,10.39
-104.7952,39.7748,1670426460,3,667.57,36.21,65.8,0.87,5.31,23.88,31.06,7.16
-107.341,39.5527,1670426460,1,210.29,0.01,5.57,55.08,0.34,0.82,0.92,1.28
-108.6048,39.0906,1670426460,1,233.65,0.02,6.77,43.27,0.18,1.02,2.17,1.69
-103.7089,39.2689,1670426460,1,230.31,0.17,5.91,37.55,0.33,8.65,12.08,2.57
-104.9898,40.4405,1670426460,1,277.04,0.09,14.4,52.21,1.04,3.0,3.77,2.88
-106.0715,39.6316,1670426460,1,193.6,0.02,4.37,46.49,0.15,1.34,1.39,0.19
-104.5199,37.1337,1670426460,1,183.58,0.02,1.24,60.08,0.16,0.67,2.14,0.37
-72.7583,41.7248,1670426460,1,236.99,0.06,10.11,60.08,1.03,1.99,2.6,0.22
-75.6912,39.6622,1670426460,1,293.73,0.95,13.88,15.02,1.61,7.18,8.67,0.16
-82.3243,27.9416,1670426460,2,453.95,18.77,17.31,13.59,0.93,14.1,18.51,1.11
-86.1166,30.7205,1670426460,1,193.6,0.06,2.42,34.69,0.08,4.51,8.57,0.1
-80.8032,27.5751,1670426460,1,200.27,0.42,1.74,49.35,0.25,3.8,6.06,0.3
-81.7872,26.4871,1670426460,1,230.31,1.15,3.77,43.99,0.21,4.43,7.04,0.3
-82.6804,30.1808,1670426460,1,220.3,0.86,6.0,25.39,0.26,5.76,7.99,0.48
-81.0778,24.7179,1670426460,1,200.27,0.14,1.0,72.24,0.71,3.38,7.49,0.0
-81.7898,26.144,1670426460,1,243.66,1.33,4.84,46.49,0.31,4.51,7.25,0.46
-82.1924,29.14,1670426460,2,340.46,13.08,7.8,8.32,0.12,11.87,14.24,0.57
-81.4994,28.5147,1670426460,1,267.03,2.99,8.57,32.54,0.32,8.34,12.06,0.41
-80.2519,26.1094,1670426460,1,330.45,3.63,21.76,39.34,1.62,6.39,12.84,1.01
-81.0415,29.1123,1670426460,1,205.28,1.77,4.28,30.4,0.25,5.94,8.99,0.09
-80.4064,27.313,1670426460,1,236.99,1.96,5.66,37.19,0.16,3.95,5.91,0.22
-81.4171,29.924,1670426460,1,257.02,3.1,5.57,20.03,0.37,8.41,11.46,0.17
-84.2471,30.511,1670426460,1,193.6,0.14,2.49,34.33,0.03,5.91,11.6,0.06
-84.3979,33.7927,1670426460,1,226.97,0.48,12.68,24.32,2.65,4.88,8.91,0.39
-82.0454,33.5148,1670426460,1,196.93,0.3,3.0,26.46,0.72,3.31,4.75,0.04
-81.6634,30.791,1670426460,2,208.62,4.97,2.66,6.62,0.13,13.02,15.57,0.04
-83.6264,32.8339,1670426460,1,193.6,0.07,3.04,35.41,1.06,3.33,7.91,0.15
-81.2128,32.1359,1670426460,2,220.3,3.02,4.58,17.7,1.0,16.4,19.21,0.0
-83.5342,31.4488,1670426460,1,200.27,0.35,2.57,28.97,0.02,5.03,8.17,0.24
