coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-121.8947,37.3483,2022-09-22 13:00:00,1,260.35,0.0,25.02,50.07,6.02,7.85,10.74,1.11
-121.8499,37.3382,2022-09-22 13:00:00,1,260.35,0.0,25.02,50.07,6.02,7.85,10.74,1.11
-121.8405,39.7617,2022-09-22 13:00:00,1,188.59,0.01,3.09,21.46,0.14,2.11,2.34,0.67
-121.7842,37.6875,2022-09-22 13:00:00,2,270.37,0.02,17.82,23.96,1.4,12.97,15.33,0.71
-121.7828,45.2885,2022-09-22 13:00:00,1,178.58,0.0,0.56,72.24,0.19,4.13,4.49,0.05
-121.7734,38.5346,2022-09-22 13:00:00,1,243.66,0.01,5.4,25.39,0.18,4.14,4.6,0.68
-121.7727,47.4902,2022-09-22 13:00:00,1,190.26,0.0,4.24,65.09,1.39,9.05,10.16,0.12
-121.7623,49.238,2022-09-22 13:00:00,1,126.84,0.19,6.68,3.0,0.16,1.84,11.18,10.39
-121.7327,38.6612,2022-09-22 13:00:00,1,270.37,0.01,5.48,18.06,0.25,5.46,5.96,0.7
-121.7314,42.1903,2022-09-22 13:00:00,1,170.23,0.14,7.03,15.02,0.04,1.51,1.6,1.85
-121.6886,38.1673,2022-09-22 13:00:00,1,226.97,0.12,10.8,8.05,0.65,6.85,8.51,1.01
-121.6688,39.3276,2022-09-22 13:00:00,1,226.97,0.01,4.54,16.81,0.19,3.81,4.25,0.63
-121.6188,39.1387,2022-09-22 13:00:00,1,273.71,0.01,6.0,14.48,0.24,5.78,6.29,0.66
-121.6031,48.2468,2022-09-22 13:00:00,1,146.87,0.02,2.7,11.98,0.24,8.08,9.0,0.75
-121.5747,36.9996,2022-09-22 13:00:00,1,243.66,0.02,13.02,21.99,0.49,6.94,9.7,0.76
-121.5555,44.2921,2022-09-22 13:00:00,2,165.22,0.0,0.24,89.41,0.06,1.9,2.0,0.08
-121.5275,45.6851,2022-09-22 13:00:00,2,181.91,0.0,1.56,81.54,0.5,5.4,6.25,0.06
-121.5273,43.7038,2022-09-22 13:00:00,1,161.89,0.0,0.36,79.39,0.04,0.6,0.63,0.06
-121.5037,38.5933,2022-09-22 13:00:00,1,327.11,0.25,10.11,7.33,0.38,7.7,8.74,0.59
-121.4994,49.3697,2022-09-22 13:00:00,1,188.59,0.29,16.28,6.8,0.61,2.28,6.67,31.41
-121.4931,38.5684,2022-09-22 13:00:00,1,327.11,0.25,10.11,7.33,0.38,7.7,8.74,0.59
-121.4406,37.6825,2022-09-22 13:00:00,1,243.66,0.0,13.71,39.7,2.06,8.89,11.03,0.9
-121.4342,43.869,2022-09-22 13:00:00,1,155.21,0.0,0.27,73.67,0.03,0.82,0.86,0.04
-121.368,38.6138,2022-09-22 13:00:00,1,230.31,1.7,6.94,1.65,0.14,3.87,6.12,1.01
-121.3384,38.8679,2022-09-22 13:00:00,1,181.91,0.03,2.83,14.66,0.04,1.31,1.83,0.91
-121.331,44.0243,2022-09-22 13:00:00,2,166.89,0.0,0.57,83.69,0.06,1.31,1.39,0.19
-121.3126,44.0639,2022-09-22 13:00:00,2,166.89,0.0,0.57,83.69,0.06,1.31,1.39,0.19
-121.2941,44.0547,2022-09-22 13:00:00,2,166.89,0.0,0.57,83.69,0.06,1.31,1.39,0.19
-121.2814,37.9616,2022-09-22 13:00:00,1,247.0,0.01,14.4,25.03,2.09,7.89,9.73,0.76
-121.2725,44.0936,2022-09-22 13:00:00,2,166.89,0.0,0.57,83.69,0.06,1.31,1.39,0.19
-121.265,38.7464,2022-09-22 13:00:00,1,230.31,1.7,6.94,1.65,0.14,3.87,6.12,1.01
-121.235,40.3019,2022-09-22 13:00:00,1,158.55,0.0,1.07,51.5,0.01,0.99,1.0,0.13
-121.2208,37.8027,2022-09-22 13:00:00,1,247.0,0.01,14.4,25.03,2.09,7.89,9.73,0.76
-121.2111,38.4945,2022-09-22 13:00:00,2,527.38,29.06,17.99,0.0,1.04,15.55,19.45,1.16
-121.2034,45.6024,2022-09-22 13:00:00,2,183.58,0.0,1.82,81.54,0.48,6.1,6.94,0.07
-121.1905,44.275,2022-09-22 13:00:00,2,168.56,0.0,0.51,84.4,0.07,1.4,1.54,0.26
-121.1645,38.6833,2022-09-22 13:00:00,1,206.95,0.43,9.08,9.66,0.17,2.55,3.8,0.81
-121.1316,44.6306,2022-09-22 13:00:00,1,175.24,0.0,1.78,70.1,0.06,1.65,1.94,0.74
-121.0996,38.9357,2022-09-22 13:00:00,1,168.56,0.0,2.25,33.26,0.03,0.85,1.17,0.42
-121.0556,39.2344,2022-09-22 13:00:00,1,151.87,0.01,1.02,18.42,0.01,0.5,0.59,0.05
-120.9942,37.6422,2022-09-22 13:00:00,1,253.68,0.0,16.62,27.54,1.7,7.91,10.73,1.63
-120.9528,39.1003,2022-09-22 13:00:00,1,168.56,0.09,3.43,16.63,0.02,0.85,0.91,0.09
-120.9478,39.9369,2022-09-22 13:00:00,1,166.89,0.0,2.61,28.97,0.02,2.02,2.05,0.06
-120.8448,44.2998,2022-09-22 13:00:00,1,168.56,0.0,0.76,77.96,0.07,1.3,1.64,0.35
-120.8358,37.4883,2022-09-22 13:00:00,1,270.37,0.01,24.33,26.11,4.29,8.67,11.91,4.69
-120.6803,38.2019,2022-09-22 13:00:00,1,165.22,0.01,2.25,22.17,0.03,1.6,1.8,0.71
-120.6662,35.4946,2022-09-22 13:00:00,1,193.6,0.0,2.38,60.8,0.43,7.64,10.17,0.55
-120.6647,47.5988,2022-09-22 13:00:00,1,170.23,0.0,0.99,74.39,0.63,5.58,5.75,0.16
-120.6445,35.2595,2022-09-22 13:00:00,1,196.93,0.0,2.12,68.67,0.56,7.1,9.45,0.54
-120.5878,35.0468,2022-09-22 13:00:00,2,203.61,0.0,1.34,92.98,1.19,7.78,8.66,0.81
-120.5639,35.0208,2022-09-22 13:00:00,2,203.61,0.0,1.34,92.98,1.19,7.78,8.66,0.81
-120.545,46.9936,2022-09-22 13:00:00,2,175.24,0.0,1.61,85.83,0.91,4.85,5.2,0.2
-120.5123,46.595,2022-09-22 13:00:00,1,211.95,0.0,8.4,65.8,0.72,4.77,5.23,9.63
-120.4804,37.3083,2022-09-22 13:00:00,1,240.33,0.0,14.4,33.62,2.68,9.32,11.78,2.98
-120.4717,39.8083,2022-09-22 13:00:00,1,166.89,0.0,1.11,40.77,0.01,1.31,1.33,0.06
-120.4567,34.6378,2022-09-22 13:00:00,1,195.27,0.0,2.55,55.08,0.39,5.94,7.11,0.64
-120.4336,37.2817,2022-09-22 13:00:00,1,240.33,0.0,14.4,33.62,2.68,9.32,11.78,2.98
-120.4328,34.8907,2022-09-22 13:00:00,1,198.6,0.0,2.08,67.23,0.63,6.8,7.75,0.67
-120.3822,36.6324,2022-09-22 13:00:00,1,213.62,0.0,4.8,38.98,1.0,7.47,10.17,3.17
-120.354,42.1892,2022-09-22 13:00:00,1,161.89,0.0,0.7,56.51,0.05,0.69,0.71,0.2
-120.342,47.4306,2022-09-22 13:00:00,1,170.23,0.0,2.59,43.27,0.19,6.89,7.03,0.21
-120.3326,46.3802,2022-09-22 13:00:00,1,205.28,0.0,5.66,43.99,0.22,3.35,3.64,5.26
-120.1906,48.4772,2022-09-22 13:00:00,1,140.19,0.0,0.78,35.05,0.06,1.33,1.38,0.67
-120.1703,39.3386,2022-09-22 13:00:00,1,180.24,0.01,4.07,38.27,0.03,2.22,2.27,0.07
-120.1488,39.166,2022-09-22 13:00:00,1,166.89,0.0,1.37,60.8,0.05,2.12,2.2,0.43
-120.1051,48.3541,2022-09-22 13:00:00,1,140.19,0.0,1.44,30.04,0.03,1.52,1.58,1.46
-120.0991,36.1994,2022-09-22 13:00:00,2,220.3,0.0,2.79,82.25,0.78,10.91,13.29,3.17
-120.0751,34.6058,2022-09-22 13:00:00,2,201.94,0.0,0.86,98.71,0.59,8.0,9.59,1.41
-120.0341,36.9533,2022-09-22 13:00:00,1,226.97,0.0,8.82,41.84,2.15,7.29,8.98,2.95
-120.0231,47.8386,2022-09-22 13:00:00,1,146.87,0.0,1.22,36.12,0.19,4.07,4.16,0.33
-119.9981,46.3203,2022-09-22 13:00:00,1,201.94,0.0,7.8,39.34,0.1,1.93,2.42,6.52
-119.931,38.9664,2022-09-22 13:00:00,1,145.2,0.0,0.33,72.24,0.07,0.5,0.53,0.23
-119.846,47.2413,2022-09-22 13:00:00,1,193.6,0.0,3.34,55.08,0.94,7.97,8.23,0.75
-119.8278,34.4453,2022-09-22 13:00:00,1,191.93,0.0,2.31,65.8,0.24,7.2,9.23,0.87
-119.7954,39.5219,2022-09-22 13:00:00,1,250.34,1.19,19.54,7.24,0.41,4.64,7.96,1.33
-119.7774,36.7109,2022-09-22 13:00:00,1,230.31,0.01,10.54,37.55,1.59,6.1,7.79,2.47
-119.7732,36.7854,2022-09-22 13:00:00,1,230.31,0.01,10.54,37.55,1.59,6.1,7.79,2.47
-119.7664,39.1448,2022-09-22 13:00:00,1,175.24,0.01,4.97,38.62,0.12,2.73,2.97,1.87
-119.7468,39.5409,2022-09-22 13:00:00,1,250.34,1.19,19.54,7.24,0.41,4.64,7.96,1.33
-119.7396,39.3998,2022-09-22 13:00:00,1,183.58,0.01,6.68,34.33,0.11,2.26,2.74,0.93
-119.7325,36.7262,2022-09-22 13:00:00,1,230.31,0.01,10.54,37.55,1.59,6.1,7.79,2.47
-119.7321,38.8976,2022-09-22 13:00:00,1,180.24,0.0,3.34,39.34,0.05,1.85,2.35,6.4
-119.7187,39.6215,2022-09-22 13:00:00,1,171.9,0.0,3.56,36.48,0.03,2.3,8.06,4.94
-119.7164,36.8192,2022-09-22 13:00:00,1,175.24,0.07,3.86,10.73,0.04,3.84,5.29,1.2
-119.6909,34.4278,2022-09-22 13:00:00,1,190.26,0.0,2.42,74.39,0.35,8.7,11.08,0.85
-119.6436,36.3144,2022-09-22 13:00:00,1,223.64,0.0,4.37,57.94,1.89,8.18,10.09,4.5
-119.5871,37.7487,2022-09-22 13:00:00,1,153.54,0.0,0.95,62.23,0.1,2.1,2.28,1.74
-119.566,36.1022,2022-09-22 13:00:00,1,233.65,0.0,4.16,62.94,1.91,9.62,11.44,4.88
-119.519,48.4,2022-09-22 13:00:00,1,163.56,0.0,4.03,38.27,0.03,0.71,0.84,4.94
-119.3129,36.3082,2022-09-22 13:00:00,1,226.97,0.0,6.17,52.21,1.37,7.23,8.79,4.18
-119.2726,47.1303,2022-09-22 13:00:00,1,181.91,0.0,2.4,75.1,0.13,1.12,1.68,2.09
-119.263,45.829,2022-09-22 13:00:00,1,206.95,0.0,3.3,67.23,0.97,6.87,7.45,1.16
-119.2437,46.2046,2022-09-22 13:00:00,1,188.59,0.0,2.83,60.8,0.21,2.02,2.75,1.54
-119.2313,34.4481,2022-09-22 13:00:00,1,173.57,0.0,3.6,59.37,0.2,5.53,7.8,0.49
-119.2015,46.2183,2022-09-22 13:00:00,1,188.59,0.0,2.83,60.8,0.21,2.02,2.75,1.54
-119.1432,34.2524,2022-09-22 13:00:00,1,170.23,0.03,6.08,22.35,0.01,1.42,2.71,0.57
-119.1203,37.9621,2022-09-22 13:00:00,1,140.19,0.0,1.04,40.77,0.03,1.21,1.41,1.2
-119.0626,35.3566,2022-09-22 13:00:00,1,213.62,0.0,3.26,54.36,0.34,9.28,10.64,2.76
