TRT_ID,coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
53277,-98.4891,29.4273,1670523623,1,200.27,0.74,3.38,47.92,1.13,3.35,4.88,0.32
53278,-111.9187,33.5666,1670523624,4,867.84,54.99,35.99,13.59,1.43,46.83,66.97,5.13
53279,-77.01,38.8964,1670523623,1,277.04,0.81,8.31,53.64,2.56,3.38,4.08,0.47
53280,-97.3412,37.6828,1670523624,1,303.75,1.68,10.28,10.55,0.97,6.64,7.38,0.4
53281,-81.7515,24.5539,1670523624,2,193.6,0.09,0.65,95.84,1.09,5.77,15.3,0.0
53282,-117.9597,33.8781,1670523624,5,1174.93,101.92,63.06,10.19,5.72,62.27,77.03,5.57
53284,-123.0225,45.2694,1670523624,1,223.64,0.03,2.96,51.5,0.13,1.55,1.8,0.21
53296,-120.6729,47.5891,1670523624,1,263.69,0.15,4.97,37.55,0.26,3.79,3.94,0.13
53297,-94.7608,32.5834,1670523624,1,196.93,0.1,2.44,39.7,0.81,4.41,5.89,0.0
53298,-122.287,37.8311,1670523624,4,520.71,17.43,63.06,5.63,16.45,34.18,41.46,0.39
53328,-73.9994,40.7424,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53329,-73.982,40.7726,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53330,-73.9725,40.79,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53331,-73.9941,40.7379,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53332,-73.9913,40.7586,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53333,-73.9677,40.7669,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53334,-73.9526,40.7733,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53335,-73.9805,40.7815,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53336,-116.7859,47.686,1670523624,1,307.08,0.8,9.94,44.35,0.18,4.02,5.02,1.3
53337,-75.978,36.8529,1670523624,1,260.35,0.46,4.28,52.93,1.13,3.66,4.24,0.24
53345,-73.9556,40.7718,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53346,-73.9849,40.6743,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53347,-73.9862,40.6732,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53348,-73.9905,40.6685,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53349,-73.8667,40.7323,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53350,-73.9736,40.6833,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53351,-73.9658,40.6775,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53356,-104.9864,39.7651,1670523624,1,330.45,9.39,17.99,43.99,1.85,4.29,5.77,1.73
53357,-104.9705,39.7707,1670523624,1,330.45,9.39,17.99,43.99,1.85,4.29,5.77,1.73
53358,-76.6633,34.716,1670523624,1,263.69,1.61,4.46,43.99,1.74,6.68,7.19,0.0
53360,-77.2618,39.8423,1670523624,1,247.0,0.29,3.94,54.36,0.65,2.24,2.52,0.33
53361,-117.2931,33.0505,1670523624,3,453.95,12.18,16.79,22.17,1.31,21.84,29.38,1.06
53363,-123.0164,45.2722,1670523624,1,223.64,0.03,2.96,51.5,0.13,1.55,1.8,0.21
53364,-71.9066,41.3319,1670523624,1,240.33,0.51,2.61,73.67,1.19,1.56,1.78,0.17
53365,76.5984,42.5447,1670523624,2,223.64,0.0,0.67,89.41,0.54,0.85,1.53,0.9
53367,-70.2278,43.5671,1670523624,1,240.33,0.22,1.17,68.67,0.75,0.56,0.64,0.09
53369,-82.7535,28.1109,1670523624,2,253.68,0.38,2.72,74.39,0.83,10.57,14.47,0.22
