base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,weather.id,weather.main,weather.description,weather.icon
stations,10000.0,2022-09-22 13:00:00,-18000.0,4004330.0,Irapuato,200.0,-101.3492,20.6579,14.31,13.83,14.31,14.31,1018.0,78.0,1.35,77.0,75.0,,,MX,2022-09-22 12:34:13,2022-09-23 00:42:01,1018.0,834.0,2.25,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4005270.0,Guanajuato City,200.0,-101.2574,21.019,13.9,13.41,13.9,13.9,1019.0,79.0,3.0,53.0,16.0,,,MX,2022-09-22 12:33:50,2022-09-23 00:41:39,1019.0,805.0,4.07,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3988214.0,Salamanca,200.0,-101.2048,20.5582,14.21,13.83,14.21,14.21,1018.0,82.0,1.46,68.0,97.0,,,MX,2022-09-22 12:33:39,2022-09-23 00:41:26,1018.0,834.0,2.75,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4014875.0,Celaya,200.0,-100.8399,20.5377,15.37,15.1,13.21,15.37,1018.0,82.0,2.9,63.0,91.0,2.0,2016015.0,MX,2022-09-22 12:32:11,2022-09-23 00:39:58,1018.0,830.0,4.68,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4014875.0,Celaya,200.0,-100.8159,20.5183,15.37,15.1,13.2,15.37,1018.0,82.0,3.07,65.0,89.0,2.0,2016015.0,MX,2022-09-22 12:32:06,2022-09-23 00:39:52,1018.0,830.0,4.91,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5688025.0,Bismarck,200.0,-100.7681,46.8253,4.05,0.96,1.58,6.23,1026.0,91.0,3.58,101.0,0.0,2.0,40637.0,US,2022-09-22 12:29:57,2022-09-23 00:41:37,,,4.92,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3985344.0,San Miguel de Allende,200.0,-100.7438,20.9148,12.26,11.97,12.26,14.43,1025.0,93.0,1.84,29.0,48.0,2.0,2006595.0,MX,2022-09-22 12:31:47,2022-09-23 00:39:36,,,2.42,,801,Clouds,few clouds,02d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3985620.0,San Luis de la Paz,200.0,-100.5156,21.2989,11.5,10.85,11.5,13.67,1020.0,82.0,1.82,60.0,15.0,2.0,2006595.0,MX,2022-09-22 12:30:52,2022-09-23 00:38:42,1020.0,806.0,2.62,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5524913.0,Las Quintas Fronterizas Colonia,200.0,-100.4512,28.7046,23.31,23.86,20.31,23.31,1017.0,83.0,2.85,109.0,4.0,2.0,2035712.0,US,2022-09-22 12:30:14,2022-09-23 00:38:49,1017.0,989.0,3.49,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5767918.0,Pierre,200.0,-100.2873,44.3738,7.47,5.39,7.01,9.53,1027.0,73.0,3.13,94.0,0.0,1.0,5361.0,US,2022-09-22 12:28:19,2022-09-23 00:39:25,,,4.02,,804,Clouds,overcast clouds,04d
stations,805.0,2022-09-22 13:00:00,-18000.0,5907896.0,Brandon,200.0,-99.9189,49.8422,-0.84,-0.84,-0.84,-0.84,1026.0,100.0,1.03,70.0,75.0,1.0,750.0,CA,2022-09-22 12:26:09,2022-09-23 00:38:38,,,,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4270936.0,Ellis,200.0,-99.7636,38.7703,10.28,9.69,9.88,10.63,1026.0,89.0,4.38,66.0,100.0,2.0,2021010.0,US,2022-09-22 12:26:46,2022-09-23 00:36:46,1026.0,948.0,5.93,,802,Clouds,scattered clouds,03d
